event,horizon_days,threshold_mm_day,model,n_selected,positive_rate,Accuracy,Balanced_accuracy,Precision,Recall,Specificity,F1,AUC,Cohen_kappa,threshold_percent
High snowmelt day,1,7.808846800000001,CryoSENSE-HK (Random Forest),10,0.0906,0.9853160776505724,0.9560597448528483,0.9178082191780822,0.9203296703296703,0.9917898193760263,0.9190672153635117,0.9975249162441281,0.910992782914483,
High snowmelt day,1,7.808846800000001,Issue-day persistence,1,0.0906,0.9825783972125436,0.9471338048924256,0.9038461538461539,0.9038461538461539,0.9904214559386973,0.9038461538461539,0.9471338048924256,0.8942676097848512,
High snowmelt day,1,7.808846800000001,Target-DOY climatology baseline,0,0.0906,0.9313091090094574,0.8113447854827165,0.6111111111111112,0.6648351648351648,0.9578544061302682,0.6368421052631579,0.9480792538058549,0.5989834352598113,
Snow-covered day,1,,CryoSENSE-HK (Random Forest),10,0.4609,0.9960179193628671,0.9958368981451013,0.9978308026030369,0.9935205183585313,0.9981532779316713,0.9956709956709957,0.9998422009895718,0.9919843917074961,50.0
Snow-covered day,1,,Issue-day persistence,1,0.4609,0.9925335988053758,0.9924877200959656,0.9919006479481641,0.9919006479481641,0.9930747922437673,0.9919006479481641,0.9924877200959658,0.9849754401919315,50.0
Snow-covered day,1,,Target-DOY climatology baseline,0,0.4609,0.9482329517172723,0.9506936674982899,0.9122367101303912,0.9821814254859611,0.9192059095106186,0.9459178367134685,0.9929608678397142,0.8964054573860495,50.0
High snowmelt day,7,7.8092356,CryoSENSE-HK (Random Forest),10,0.0906,0.9676455948232952,0.8993463433118605,0.825,0.8159340659340659,0.9827586206896551,0.8204419889502762,0.9900936501921724,0.8026635919351768,
High snowmelt day,7,7.8092356,Issue-day persistence,1,0.0906,0.944748631159781,0.832338638373121,0.695054945054945,0.695054945054945,0.9696223316912972,0.695054945054945,0.8323386383731212,0.6646772767462422,
High snowmelt day,7,7.8092356,Target-DOY climatology baseline,0,0.0906,0.9313091090094574,0.8113447854827165,0.6111111111111112,0.6648351648351648,0.9578544061302682,0.6368421052631579,0.9480792538058549,0.5989834352598113,
Snow-covered day,7,,CryoSENSE-HK (Extra Trees),10,0.4609,0.9830761572921851,0.9824242315462408,0.9890350877192983,0.9740820734341252,0.9907663896583564,0.9815016322089227,0.9986172020365796,0.9659069696404026,50.0
Snow-covered day,7,,Issue-day persistence,1,0.4609,0.9606769537083126,0.9604353258387528,0.9573434125269978,0.9573434125269978,0.9635272391505079,0.9573434125269978,0.9604353258387528,0.9208706516775057,50.0
Snow-covered day,7,,Target-DOY climatology baseline,0,0.4609,0.9482329517172723,0.9506936674982899,0.9122367101303912,0.9821814254859611,0.9192059095106186,0.9459178367134685,0.9929608678397142,0.8964054573860495,50.0
High snowmelt day,15,7.812803499999999,CryoSENSE-HK (Random Forest),10,0.0906,0.9626679940268791,0.8817681360784809,0.800561797752809,0.782967032967033,0.9805692391899289,0.7916666666666666,0.9828401962022651,0.7711664398707263,
High snowmelt day,15,7.812803499999999,Issue-day persistence,1,0.0906,0.9148830263812843,0.741710875331565,0.5302197802197802,0.5302197802197802,0.9532019704433498,0.5302197802197802,0.7417108753315649,0.48342175066313,
High snowmelt day,15,7.812803499999999,Target-DOY climatology baseline,0,0.0906,0.9313091090094574,0.8113447854827165,0.6111111111111112,0.6648351648351648,0.9578544061302682,0.6368421052631579,0.9479924153569474,0.5989834352598113,
Snow-covered day,15,,CryoSENSE-HK (Extra Trees),10,0.4609,0.96913887506222,0.9690666574928852,0.965016146393972,0.9681425485961123,0.9699907663896583,0.9665768194070081,0.9973994324221377,0.9379130659305439,50.0
Snow-covered day,15,,Issue-day persistence,1,0.4609,0.9173718267794922,0.9168641023953541,0.9103671706263499,0.9103671706263499,0.9233610341643582,0.9103671706263499,0.916864102395354,0.8337282047907082,50.0
Snow-covered day,15,,Target-DOY climatology baseline,0,0.4609,0.9482329517172723,0.9506936674982899,0.9122367101303912,0.9821814254859611,0.9192059095106186,0.9459178367134685,0.9929608678397142,0.8964054573860495,50.0
High snowmelt day,30,7.8377986,CryoSENSE-HK (XGBoost),10,0.0906,0.9566948730711797,0.8710633236495307,0.7581521739130435,0.7664835164835165,0.9756431308155447,0.7622950819672131,0.983351076947136,0.7384733016318579,
High snowmelt day,30,7.8377986,Issue-day persistence,1,0.0906,0.8531607765057242,0.5544134983790157,0.18956043956043955,0.18956043956043955,0.9192665571975916,0.18956043956043955,0.5544134983790157,0.1088269967580312,
High snowmelt day,30,7.8377986,Target-DOY climatology baseline,0,0.0906,0.9313091090094574,0.8113447854827165,0.6111111111111112,0.6648351648351648,0.9578544061302682,0.6368421052631579,0.948050307656219,0.5989834352598113,
Snow-covered day,30,,CryoSENSE-HK (XGBoost),10,0.4609,0.9584370333499254,0.9603929469575951,0.9287531806615776,0.9854211663066955,0.9353647276084949,0.9562483625884203,0.9945937012019648,0.9167315476401733,50.0
Snow-covered day,30,,Issue-day persistence,1,0.4609,0.8357391737182678,0.8347298421112461,0.8218142548596112,0.8218142548596112,0.8476454293628809,0.8218142548596112,0.834729842111246,0.6694596842224921,50.0
Snow-covered day,30,,Target-DOY climatology baseline,0,0.4609,0.9482329517172723,0.9506936674982899,0.9122367101303912,0.9821814254859611,0.9192059095106186,0.9459178367134685,0.9929608678397142,0.8964054573860495,50.0
